fen,dataset_next_move,side_to_move,stockfish_bestmove,score_before,score_after,delta
r1bq1b1r/pppppkpp/2n2P2/8/3n1P2/4P3/PPPP2BP/RNBQK1NR w KQ - 1 7,e3d4,white,e3d4,404,367,-37
r2qkb2/2pnp2P/2bp1n2/p6p/pP2Pp2/2PP1N2/3Q1PPR/RNB1KB2 w Qq - 0 16,h7h8q,white,h7h8q,709,689,-20
rbb1k2r/pp3pp1/n2p4/P2P4/2p1N3/4P1pP/1PP1P1n1/RQK2BNR w kq - 0 23,f1g2,white,f1g2,636,635,-1
1rb2b2/p2knppr/2pNp3/1pnp1P2/P6p/1PP2P1P/1B1PP3/R2QKBNR w Q - 1 18,d2d4,white,b2a3,700,650,-50
rnb1kbn1/1p1p2p1/pq2p3/2p2p1p/P5rN/1P1P2P1/2P1PPBP/R1BQKN1R w KQq - 4 11,e2e4,white,e2e4,317,295,-22
r2qnkr1/p1N2p1p/n1pppBp1/8/1Q6/1P1P3N/P1P1b1PP/2R1KB1R b K - 0 24,a6b4,black,d8c7,-24,-9,15
r5r1/1R1b1p1p/3kpq2/p3b2n/PP1n1P2/2P1PP2/3P2B1/1NBKR3 b - - 0 24,d7a4,black,d7a4,99999,100000,1
r1bk2nr/2pp3p/Bpq1P1p1/p1b1Pp2/6P1/NPP1P2P/P7/R1BQ1KNR b - - 0 22,c8a6,black,c8a6,254,270,16
r3r3/pbp2p2/n1k1p3/1p1pP3/3KQP1p/2P3N1/PB4PP/R4BR1 w - - 1 22,e4e2,white,e4e2,730,764,34
1n2kb1r/rp1nB3/5pp1/Q1p2B1p/P1Pp2PP/1N1P3b/1P3P2/1R2K1NR w - - 0 26,f5g6,white,f5d7,776,769,-7
r1qk2n1/nb1p2br/1Rp2p1p/4p3/P3P2p/B1p2NPN/2PPKP1P/1R6 b - - 1 23,b7a6,black,b7a6,702,705,3
r2q1b2/1pp1pk2/2nn1ppr/p7/NPp5/P2PPPpb/R5BP/2BQ1KR1 b - - 0 20,a5b4,black,g3h2,578,542,-36
1nbqk1nr/3p3p/rpp2ppB/p3p3/7P/3P2P1/PPPNPPB1/2RQK1NR w Kk - 2 10,h6g7,white,h6g7,674,669,-5
1rbqkb2/p2pppp1/nr3n2/1p1p4/P6p/4P1NP/1PPN1PPR/R1BQKB2 w Q - 2 12,g3f5,white,g3f5,-187,-211,-24
r3k1nr/p1p1p3/n1P2p1b/1B1pP1pp/8/P5Pb/1P1K1PNR/RNB5 b kq - 0 22,a6c5,black,a6c5,271,263,-8
1rbb2n1/1pp2k2/p2pppp1/4n3/q6N/P2P2p1/1PPQPPRr/R1B1KB2 w - - 0 22,d3d4,white,h4f3,-488,-505,-17
rn1qkb1r/2p3pp/1p3p2/p2ppb2/1P1Pn3/P1P2P2/3BP1PP/RNQK1BNR w kq - 0 9,f3e4,white,f3e4,111,122,11
r2k1b2/pp2ppp1/nqppbnr1/7p/PP1P4/2P1BP1N/1N1KP1PP/R2Q1B1R b - - 2 11,e6h3,black,f6d5,-74,-79,-5
rn2kbr1/3p4/b1pPp1p1/p1P1q1Pp/1P1N1P2/N1Q1P1n1/P6P/R1B2BKR w q - 1 24,h2g3,white,f4e5,578,576,-2
1rb2b1r/1ppk2pN/p3p3/1N1pn1q1/PP1PpPP1/3B1n1p/2PB4/4RKR1 b - - 0 25,f3d2,black,f3d2,982,1037,55
rn1qkb1r/1bppp1pp/5n2/pP3p2/8/1P4PN/P2PPP1P/RNBQKB1R w KQkq a6 0 6,f2f3,white,f2f3,86,115,29
r1b3nr/ppp1p2p/2nqk1p1/P4pb1/1P2p1Q1/2PPP2P/R4PP1/2B1KBNR b K - 0 12,f5g4,black,f5g4,652,650,-2
2bq1b1r/rp1pkppp/n1p2n2/6N1/p2p4/PQ3P2/1PP1PBPP/RN2KB1R b KQ - 6 10,a4b3,black,a4b3,642,636,-6
rn2qbr1/p2k1p1p/bp5n/2p1p1p1/1P4P1/N3PP1N/P1PP3P/R1BQK2R w KQ - 1 10,b4b5,white,b4b5,-310,-312,-2
r1b1kbn1/pq2ppp1/2np4/1P3P2/P1p2Bpr/2N4B/2P1P2P/2RQK1NR b Kq - 2 16,g4h3,black,c6b4,454,412,-42
rnb1qbnr/ppp1kp2/1N2p1p1/3p3p/1P6/B4P1N/P1PPP1PP/R2QKBR1 b Q - 1 10,a7b6,black,a7b6,449,440,-9
rn2bbn1/2k1p3/1pp2p1r/p2P4/P1P1N1pR/1PB3P1/4PP2/1R1QKB2 b - - 0 22,b8a6,black,h6h4,-635,-667,-32
r1q2br1/pppkn1pp/2b5/4pP1P/3p1P2/B2PP1R1/R1PN4/3QKBN1 b - - 0 16,d4e3,black,d4e3,-331,-341,-10
rn2qbr1/p3k2p/4pp1n/2pp4/1p1N2P1/BPP3P1/P2PBP2/RN1QKR2 b Q - 0 16,b4a3,black,b4a3,-115,-112,3
2r1k1n1/ppp4r/2n2p1p/2qB2pb/1b1p1p2/N1BPP1PN/P1PK3P/R2Q3R b - - 0 17,b4c3,black,c5c3,99997,99998,1
r1b3nr/p2q1k1p/n2pp3/1pp2p2/4PPp1/bQP3P1/PPBP1N1P/RNB3KR b - - 6 17,c5c4,black,c5c4,-121,-123,-2
2b1kbnr/rp6/p1nppq1p/2p5/1PP3p1/N4P2/P2PPK1P/R1B2BNR w k - 0 12,a3c2,white,b4b5,-811,-805,6
2b3nr/2pnq1pp/6k1/rp1PP1N1/1b2Pp1P/N2B4/PB1P2P1/R5KR b - - 1 19,a5a3,black,d7e5,527,538,11
rnbqk1r1/pp2b1pp/3p3Q/2p5/3P1p2/5N2/PPP1PPPP/RN2KB1R w KQq - 0 8,h6h7,white,h6h7,293,302,9
rnb1kb1r/2p1p1pp/3q1n2/pp3p2/1P1p3P/1NN3P1/P1PPPP2/R1BQKB1R w KQkq - 0 9,f1g2,white,f1g2,108,134,26
b2q1b1r/3kpp2/r1np1n2/ppp3P1/2B1P1P1/PP2Q2N/2PP1P2/RNB1K2R b KQ - 2 15,b5c4,black,b5c4,232,256,24
1rb3nr/pp2p2p/n1p2kpb/P1p5/1P5P/R2qPP2/2PP2P1/1NB1KB1R b K - 0 18,d3c2,black,d3d6,592,567,-25
r1bqkb1r/p1pppppp/2nn4/1p2N3/N7/P7/1PPPPPPP/R1BQKB1R w KQkq - 6 6,e5c6,white,e5c6,49,36,-13
rnbqkb1r/ppp1p1pp/3p1p1n/8/7P/P1PP1N2/1P2PPP1/RNBQKBR1 b Qkq - 0 6,h6g4,black,h6g4,-16,-12,4
1nb2bnr/3r4/pp1ppk1p/2p2p2/3P1P1q/N3P2P/PPP1K2R/R1BQN2B b - - 3 16,f6g6,black,h4g3,-54,-56,-2
1n1qkb1r/rp1bpppp/p2p3n/2p5/2P1P2P/3P1P2/PP2B1P1/RNBQK1NR w KQk - 0 7,d3d4,white,d3d4,64,56,-8
2b1kb2/4p1rp/1q3n2/Rpp5/1QP1PpP1/7P/3PB3/2B2KNn w - - 1 25,b4b5,white,b4b5,-244,-250,-6
2bq1k1r/1pp2pb1/5n1p/3ppP1n/1r3p2/PP5B/2PPP2P/1RBQ1KR1 w - - 8 20,a3b4,white,a3b4,-427,-420,7
r3k3/p1bp1q2/4p1np/Q1p5/1p2Pp1P/NPBP1P2/P1P4R/1R2KBN1 b q - 2 22,c7a5,black,c7a5,-138,-144,-6
rn2kbr1/ppp1pppp/4b3/3p4/q5n1/4PN1B/2PP1P1P/RNBQ2KR w q - 0 12,a1a4,white,a1a4,541,531,-10
r2qkbnr/p1p1pppp/b2p1B2/1p6/1n4P1/P6B/2PPPP1P/RN1QK1NR w KQkq - 0 7,h3g2,white,h3g2,-72,-105,-33
rnbk2r1/3q1ppp/ppp1p2n/1P1p4/1bBPP1PP/2P2PK1/P1Q1N2B/RN1R4 b - - 2 18,b4d6,black,b4d6,-64,-85,-21
5b2/rb2p1pr/Q2p1k1n/p1p1q3/4pP1N/N1p1P2P/PP1P2PR/R1BK4 w - - 5 26,f4e5,white,f4e5,728,746,18
r4b1r/1bqpk1p1/n1Q1B3/pp4p1/7n/2PPPP2/PP3N1P/RNB1K3 w Q - 1 17,c6c7,white,c6c7,-589,-545,44
rnbqk1r1/1p2n1bp/p2p1p2/2p1p1B1/P7/3PPP1N/1PPQ2PP/RN1K1BR1 b q - 0 10,f6g5,black,f6g5,330,384,54
r1b2r2/ppppk1b1/2q2pPp/P7/6P1/3pPQ1B/NPPP1R2/R1B1K3 w Q - 1 25,a2b4,white,a2b4,512,477,-35
5bnr/rp2p1pp/1n3p2/p2pkP2/3qP1B1/QP5P/R2P1P1R/2BK2N1 b - - 2 24,d4b4,black,d4b4,-532,-567,-35
1rbqk1r1/p1pnbp2/1p3n1p/3Pp1p1/5PPP/NP1PB2N/P1PK4/R2Q1B1R w - - 1 13,f4g5,white,f4g5,-230,-231,-1
3k2nr/r2p1pbp/ppn3p1/2p1p3/2P2P2/3QB1P1/PP1KP2q/1NR2BN1 b - - 0 17,g8f6,black,g8f6,398,420,22
r1bqkb1r/1pp1p1pp/p6n/1n1p1p2/1P6/NR3P2/PBPPP1PP/3QKBNR w Kkq - 0 8,a3b5,white,a3b5,60,71,11
r1bk1bnr/3n2p1/p6p/3p1p2/1pNp1PQ1/1P4PN/P1P3BP/R1B1K2R b Q - 0 18,f5g4,black,f5g4,-153,-165,-12
rn1qkb1r/1p2pp1p/2p2n2/p2p1bp1/7P/3PBN2/PPP1PPP1/RNQ1KB1R w Qkq - 0 8,h4g5,white,h4g5,193,188,-5
rnnk3r/2pp3p/pp2p3/1Pbb1P2/2PP1p1P/5Pp1/P4BPR/RN1B1KN1 w - - 0 24,h2h3,white,h2h3,-365,-366,-1
rnb1kbn1/3p3r/p1p3pp/Pp2NpB1/2PP4/R6P/1PK1P1P1/1N3B1R b q - 1 18,h6g5,black,h6g5,415,386,-29
rn1qk1nr/2p5/p4p1p/1p1pp1pb/1P1P1P1P/b7/P1P1PKP1/R1BRQBN1 b kq - 0 13,a3c1,black,a3c1,460,422,-38
r1b1k2r/p1pp2pp/1pnb2nq/4Np2/P4BP1/3P4/NPP1PP1P/R2QKB1R b kq - 0 11,g6f4,black,g6f4,490,497,7
rnb3nr/3pkpp1/3bp2q/ppp1P3/1P6/2PP2P1/P1KN1P1P/R1B2BNR w - - 0 14,e5d6,white,e5d6,-336,-347,-11
r1bqkbnr/ppppp1pp/5p2/nP6/7P/6P1/P1PPPP2/RNBQKBNR w KQkq - 1 6,e2e4,white,e2e4,54,59,5
2bnqbrn/r7/p1p1k1p1/1p1pP2B/1P3PPP/B1P5/P4KQ1/RN4R1 b - - 5 25,a7f7,black,e6d7,340,354,14
rnbqkbnr/pp3pp1/3p4/2p1p2p/1P4PP/2N5/P1PPPP2/R1BQKBNR w KQkq - 0 6,g4h5,white,g4h5,-122,-117,5
rnb2b2/1p1p1kB1/p1p1p3/3P1p1r/1PB1N3/4PN2/P1P3PP/R2QK2R w KQ - 1 13,d5e6,white,d5e6,1057,1135,78
r3kbn1/7r/Q7/2pppppp/q2n2PP/P3P2R/1PpPBP2/RNB1K1N1 w q - 2 20,a6g6,white,a6g6,425,426,1
r2k1b1r/p1p1p2p/np3ppn/4qbN1/2pP1PQ1/1P2P1P1/P1P2K1P/R1B2B1R b - - 1 15,h6g4,black,h6g4,770,760,-10
r3kbnr/p2b3p/qp1B2p1/2pp1p2/PnPP4/Q4P2/1P2K1PP/1RN2BNR w - - 4 22,d4c5,white,d4c5,-186,-184,2
rnb3nr/2qpk2p/pp2pp1b/2p2Pp1/3PP3/1PP3PN/PB4BP/RN1QK2R b KQ - 0 12,b8c6,black,b8c6,-291,-297,-6
r2qkb2/2p1p2r/p2p3p/1p3bp1/4n1PP/PP1PP3/2KNBP2/RN3Q1R b - - 0 20,e4d2,black,e4d2,-144,-147,-3
1nb1kb1r/r2p3n/p1p5/qp2pppp/QP4P1/N2KP2B/P1PP1P1P/R1B3NR b k - 2 13,a5a4,black,a5a4,778,767,-11
r2n2kr/1pp4p/3pbp1n/1p6/1P1PQ2P/4P3/P1P1K1B1/R1B4R w - - 2 25,e4f4,white,e2d2,586,572,-14
2bqrbr1/1pp1ppp1/1nk5/2P4p/2B4P/2N2P2/PP1P2PR/1RB1K1N1 w - - 3 20,c4f7,white,c4f7,-274,-278,-4
r4bnr/2qBpbk1/1pn2p1p/p1p1P1N1/3p3P/2P2N2/PP1P1PP1/R1BKQ2R w - - 1 19,g5e6,white,g5e6,338,324,-14
br4kr/P1npqpbp/2p5/1p2pn2/4P1PP/N1P5/P2P1PR1/R1BQKB2 b Q - 3 23,b8b7,black,b8b7,-163,-158,5
rnb1kb1r/ppppqp2/5n1p/4B1p1/PP6/5N2/2PPPPPP/RN1QKB1R w KQkq - 0 6,e5c7,white,e5c7,151,157,6
r3kbn1/Rq2pprp/2np1Pp1/3P4/2p5/1pP1PN1B/1P3P1P/2B2K1R b - - 0 25,c6a7,black,b7a7,607,567,-40
rn4nr/p1k2p1p/1q2p2R/Pp4p1/R1ppPPP1/BPP3P1/3PN3/1NQ1KB2 b - - 2 20,b6b7,black,b6b7,-425,-438,-13
1rb2bnr/pppk1ppp/4p2q/3p4/1n2PP2/1P1B2P1/P1PP3P/RNBQKR2 b Q - 0 9,b4d3,black,b4d3,460,438,-22
2b1r1nr/p1p1bkpp/Bpnq1p2/3pp3/5P2/N3P1P1/PPPPQ2P/R1B1K1NR w KQ - 3 12,a6c8,white,a6c8,-43,-40,3
1nb2br1/2Npn1k1/4r1pp/p2PPP2/2p4P/1P2BR2/P1P1P3/R2QKBN1 w - - 2 19,f5f6,white,f5e6,883,881,-2
r1qk2n1/5p1r/4p2b/2p1n3/PPPp2BN/N2P2P1/4PP1P/R1B2KR1 w - - 1 25,c1h6,white,c1h6,-316,-325,-9
rn2k1r1/3b3p/p1p3pb/Pp1pp3/1P2PP2/4BN2/1R1nP1PP/Q3K2R b Kq - 2 22,d2f3,black,d2c4,-337,-359,-22
2q1kbnr/1p1n2p1/2ppp2p/Q5p1/2PP1B2/5PP1/PP1NP3/R3KBNR b KQk - 0 16,g5f4,black,g5f4,-519,-530,-11
rnb1kr2/ppp5/3ppb2/7p/1P1P1PpP/BP5R/P2KN1P1/RN2QB2 b q - 1 21,g4h3,black,g4h3,-584,-607,-23
1Bb2bnQ/1p1k2p1/2n1p3/r1pp1p1p/p2PP3/1qN2N2/PRP2PPP/2K2B1R w - - 2 23,c2b3,white,c2b3,776,776,0
1r2kbnr/1pqbpp1p/n5p1/p2p4/3pPPPP/NPPN4/P7/R1BQKB1R w KQk - 1 13,e4d5,white,e4d5,-113,-123,-10
r1bqkbnr/2ppp1p1/1p3p1p/p1B2n2/5P2/P7/1PPQP1PP/RN2KBNR w KQkq - 0 10,c5f2,white,c5f2,33,38,5
r3qb1r/2p1pppp/2k4n/pp1p4/1P1P3N/P1BQ2Pb/4PP2/RN2KBR1 w Q - 0 16,f1h3,white,f1h3,556,558,2
1nb1k1r1/r4p1p/p1p1pnp1/qp1N2b1/P2P4/1P3P1P/2P1PBB1/R1Q2KNR b - - 1 16,g5c1,black,g5c1,326,322,-4
1nbk3r/1p1p2pp/3r1p2/p1p1P1q1/P1P4P/1PQPn3/2B1N3/RN2K3 w Q - 3 23,h4g5,white,h4g5,265,292,27
r1bqk2r/1p1p1pbp/2n4n/p1p1p1p1/4P3/N3K2N/PPPP1PPP/R1BQ1BR1 w kq - 4 8,d1h5,white,f2f3,-247,-265,-18
rn1qkbnr/ppp1Np1p/3p2p1/7b/2P5/8/PPNP1PPP/R1BQKB1R w KQkq - 1 8,g2g4,white,g2g4,-153,-148,5
rn2kb1r/pp2pp1p/2p1bn2/qB1p4/2P4R/4P1P1/PP1PQP2/RNB1K1N1 w Qkq - 3 8,c4d5,white,c4d5,29,21,-8
b1rq1bnr/2pp2pp/p1n1k3/1P2pp2/4PP2/2P5/P1QPN1PP/RNB2KR1 w - - 6 12,b5c6,white,b5c6,62,46,-16
r1q2bkr/2ppn3/4p2p/pNnb2p1/1p2p1PP/NP3P2/PBPP4/R2QKR2 w Q - 15 24,b2h8,white,f3e4,-330,-343,-13
1nkb2br/r5pp/pP1p3n/1P1p1p2/5P1q/B5PB/P1NPP2P/R3QK1R w - - 1 23,g3h4,white,g3h4,669,658,-11
r1b1k1nr/pq1ppp1p/5b2/1N6/1nPpPpP1/7P/P4KB1/R1BQR1N1 b kq - 5 15,b7b6,black,f6h4,88,89,1
r4bnr/pp1bpk1p/5pp1/N1pQ4/1P1pqN1P/P4PP1/2P1P3/1RB2K1R b - - 4 20,e4d5,black,e4d5,288,299,11
r1b1k2r/p2p1n2/1p1b4/n1p1q1pp/2P1P2N/PB6/RP3PPP/1QNK3R b q - 0 24,g5h4,black,g5h4,617,608,-9
rnb1kbr1/2ppq3/Bp3pp1/2PPp3/1P1NP1pn/5QP1/P4P1P/RN2K2R b q - 1 15,h4f3,black,h4f3,844,836,-8
2b1kb1r/1pq1p1p1/3p1p2/1r2n2p/P3P3/N1p2P1n/1BQP2PP/RNR2K2 w k - 1 21,a3b5,white,a3b5,11,18,7
1r3b1r/1b2p1pp/n3Pk1n/3p4/q1p1BPpK/Rp5N/2PP4/1NB2R2 b - - 1 24,d5e4,black,d5e4,717,739,22
rnb1k3/1p1p3r/p1p4n/1Q1p1ppp/1bNBPP2/Rq1B4/2P4P/3K2NR b - - 6 19,b3b1,black,b3b1,767,765,-2
r1bq2nr/p1pppkbp/n7/6p1/p2P4/R1N5/1PPBPPPP/3QKB1R w K - 0 9,e2e4,white,e2e4,230,225,-5
r1b1kbn1/q2pp1p1/ppn2pP1/P1p2Q1r/3PPP1p/1P5P/2P2KBR/RNB3N1 w q - 2 18,f5h5,white,f5h5,377,376,-1
rn1k1r2/4pq1p/p1p4b/2P2pp1/1p3P1R/PP2B2N/R1P1P1b1/1Q1K1B2 b - - 1 22,f7d5,black,f7d5,446,450,4
1r4nr/1bpk4/5p1p/npbp2p1/6N1/P1PPP1PN/5KBP/1qR4R w - - 1 23,c1b1,white,c1b1,-461,-468,-7
r2qkbn1/p1pbp1r1/Ppnp3p/5pN1/5P2/2N5/RPPPP1PP/2BQKB1R w q - 0 18,g5f3,white,g5f3,36,41,5
3kq1nr/r2b2bp/npP5/p2Pp3/P1P2pp1/5P2/1P1NK1PP/RQB3NR w - - 0 24,c6d7,white,c6d7,-126,-122,4
rnb2b2/p1qp1p2/2pN2rP/1pnkpPp1/1P6/B7/P1PPK2P/R3QBNR w - - 1 15,b4c5,white,b4c5,715,679,-36
r3kb2/p3n1p1/1qpppPr1/1bQ3p1/PP2P1pP/RP4P1/3P1K2/1NB4R b q - 0 24,g6f6,black,g6f6,723,771,48
rnbq1bnr/1ppp1kpp/p7/4pp2/6P1/N4P2/PPPPP1BP/R1BQK1NR b KQ - 0 6,f5g4,black,d7d5,139,130,-9
rn1q1b1r/p1pp1k2/1p6/3P1ppp/1P6/P1Pb3P/1B2P1PR/R2nKBN1 b Q - 1 15,d1b2,black,d1b2,837,812,-25
1n2q1nr/r6k/pp3B1p/3p1p2/1pbP2PP/P5KN/1Q2P3/RN2R2B w - - 2 25,f6e5,white,f6e5,252,252,0
r1bk1b2/p2n4/1p3ppr/P1pppP2/4P1P1/4K3/1PPP4/RNBQ1BN1 b - - 1 20,g6f5,black,g6f5,-388,-395,-7
1nb1qbr1/r2k4/N2pppnp/p1B3p1/4PP2/3P2PN/PPP1K2P/R3QBR1 b - - 5 19,d6c5,black,d6c5,338,331,-7
1r1qkbnr/1p3p1p/p2p2p1/2p1p3/PnP3P1/3P3b/1P2PP1P/NRBQKB1R w k - 1 13,f1h3,white,f1h3,-123,-158,-35
2b1kbnr/rpp1p3/4Np1p/p2q4/2Pn1P1P/1Q1Pp3/PP2P1P1/RN2KB1R w KQk - 1 12,e6c7,white,e6c7,268,271,3
2bqk1nr/r2p2b1/p1p4p/1p2pp2/Pn1NP1pP/3P4/1BPQ1PP1/RN2KB1R w KQk - 0 14,d4f5,white,d4f5,340,338,-2
2bk2nr/3n2pp/1rppp3/pp6/1P1bpBN1/2PP1PP1/P3Q2P/RN2KBR1 w Q - 0 17,c3d4,white,c3d4,761,762,1
2b1kb2/rppqn1p1/p3p2r/5p2/nP5p/2B1PPPP/P1p1N3/R3K2R w KQ - 2 23,c3d4,white,g3g4,-1019,-1029,-10
1r1q1b1r/4pp1p/bPp3pn/6k1/2P1B1P1/P2P4/4QP1P/RNB2K1R b - - 0 18,g5f6,black,g5f6,-457,-504,-47
6nr/1b1pqpkp/2pp3b/1p1P1N2/5PP1/2P4B/PP1KP3/R1B3R1 b - - 4 20,g7f8,black,g7f8,-382,-366,16
4rb1r/pp2pkN1/P2p3p/2p2p1n/2b2P2/P2B2PP/1Q1P3N/R1B1K2R b KQ - 4 24,f8g7,black,c4d3,-666,-677,-11
1nq1kb1r/2p1pppp/rp5n/p2p1b2/7P/PP2P3/1BPP1PPR/RN2KBN1 w Qk - 2 12,b1c3,white,b1c3,-690,-694,-4
4k1nr/1bp2p2/1rnq4/ppPp2P1/3P2Pp/N1bN1P1B/PP1QP3/1RB2RK1 w k - 4 17,d2e3,white,d2e3,616,663,47
rnb1k2r/1p1p1p1p/1q1bpn2/p1p3p1/8/P1PN1PPB/1P1PP2P/RNBQK2R b KQkq - 1 8,h7h5,black,d6e7,64,64,0
r1b1kbr1/pp3p1p/n3q2n/2ppp1p1/8/NP1KP1PN/P1PP1P1P/R1BQ1B1R w q - 2 10,d3c3,white,d3e2,-232,-332,-100
r1b1B3/1p2k2p/2p1p3/p4pp1/1n1N2P1/PPP4P/3P1K2/RNB2B1R w - - 2 20,a3b4,white,a3b4,865,891,26
r1b1k1r1/pQ1nb3/3p3N/3P3P/1p2p1p1/4P2P/PP1PKP2/RNB2B1R w q - 0 18,b7a8,white,b7d7,691,648,-43
2b1kbr1/2p3p1/1pnp1p1n/8/r3qp1p/1R3N2/1PPPBPPP/1NB1KR2 w - - 2 15,d2d3,white,e1d1,-590,-589,1
r1b1kb1r/pp1pqp1p/4p3/1Qp3p1/2n5/P1N2NP1/RP1P1P1P/2B1KBR1 w kq - 4 13,b5c4,white,b5c4,455,452,-3
1QB2q1r/r2pk2p/4ppp1/p1p2P2/P7/3RP1nN/7P/1NB1K1R1 b - - 2 25,g3f5,black,f8c8,-680,-677,3
rnbqkbnr/ppp1p1p1/B7/3p3p/4p3/N5PP/PPPP1P2/R1BQK1NR w KQkq - 0 6,a6e2,white,a6e2,-174,-189,-15
rnq2bnr/p1p1kbp1/1p1p1p2/7p/PP4P1/2N2N2/1BP1PP1P/R3KBQR w KQ - 4 15,g4g5,white,g4g5,257,268,11
1rb1kbnr/ppp1n2p/3pp1q1/3Q1pp1/1P2P3/7P/P1P2PPR/RN1KBBN1 b k - 2 13,e6d5,black,e6d5,795,788,-7
r3kb2/pp2pp1r/2p3bn/3p2pp/3Pn1P1/5P2/PPQ1P2P/1N1K1BNR w q - 6 16,f3e4,white,f3e4,-24,0,24
r1b1kb1r/3n1n2/q2p2p1/1Pp2P1p/p2P4/N3PN1P/1PPQ2PR/R1B1K3 w Q - 0 18,b5a6,white,b5a6,671,665,-6
rnkq1b1r/1pp1pppp/3p4/pP3n1b/3B1P2/N6P/P1PPP1P1/R2QKBNR b KQ - 1 9,f5d4,black,f5d4,423,440,17
1n4nr/1bkp3p/rppb1p2/p4P2/2PPp2P/NP2P1P1/P6N/1R1QKBR1 b - - 0 20,d6a3,black,d6a3,-431,-426,5
rnb1kBnr/pppp1pp1/2q5/b3p2p/4P1P1/PP3P1P/2PP2B1/RN1Q1KNR w kq - 7 14,f8g7,white,f8g7,-65,-79,-14
2bqkbnr/r1ppppp1/2n4p/p7/p1P1PPPP/2N5/1P1PK3/R1BQNB1R w k - 0 12,d2d4,white,e1f3,108,116,8
r1bqkbr1/p2ppp1p/1p5n/n1p3p1/6N1/2NP4/PPPBPPPP/RQ2KB1R w KQq - 0 8,g4h6,white,g4h6,196,153,-43
2kr1bnr/pbpp2pp/1p2p3/2n2pP1/7Q/1PPP3N/P3P1PP/RNB1KB1R b KQ - 0 9,g8e7,black,h7h6,-574,-562,12
4k1nr/4bp2/rP1p3p/p2pp1p1/PQ2b1P1/3PP1N1/1P1B2B1/3RKR2 w - - 0 26,b4b5,white,b4b5,951,996,45
r3k2r/pp2np1p/2pb4/q1nNp1p1/8/3BP2b/PPPP1PPP/RNBQ1R1K b kq - 0 12,e7d5,black,e7d5,168,166,-2
rn2kb1r/1p1q2pp/1N1pbn2/p1p2p2/1P1p1PP1/1R6/P1PBP2P/3QKBNR b Kkq - 7 12,d7c6,black,d7c6,195,219,24
1rb1k2r/ppppn3/2Pbp1pB/4qp1p/2Q5/NP6/P1P1PPNP/R3KB1R b KQk - 0 13,e5a1,black,e5a1,688,666,-22
5kr1/p2np1pp/1pp5/3pqp2/3P1P1P/2R1B3/1PPKP1P1/1N1Q1BNR w - - 0 18,f4e5,white,f4e5,1073,1106,33
rnb2kn1/1p3q2/p1p1pB1r/4p2p/PPPp3P/3P4/R2NPPP1/2Q1KBR1 b - - 1 25,g8f6,black,g8f6,189,197,8
r1b1kbnr/pp1p2p1/n4p1p/2p1p3/qNP5/2Q3PP/1P1PPP2/R1B1KBNR b KQkq - 3 9,a4b4,black,a4a1,501,433,-68
1rbq3r/n1pk1p2/1p1n4/p2Pp2p/1b2P1PP/N4P1N/PP1P1K2/R1B2B1R b - - 2 18,d8h4,black,d8h4,798,808,10
r2qkbn1/p1n2ppr/2pp4/N6p/5P2/5b1B/PP1PP2P/RNBQK2R b KQq - 4 14,d8h4,black,d8h4,680,704,24
rn3br1/1b1pp1pp/2Bk4/p4n1q/1p1P2PP/PPp1P3/2P2P1R/RN2K1NQ b Q - 3 22,b7c6,black,b7c6,338,325,-13
2bqk1r1/r1pp1p1p/p3pPP1/1p1P4/nPN2BP1/b2Q3R/2P1P1n1/2RK1BN1 b - - 4 20,d8f6,black,d8f6,-140,-147,-7
rn3bnr/p4kp1/Bpp2q2/P2P2pP/4pNp1/N7/1PPP1P2/R1BbK2R b KQ - 1 17,b8a6,black,b8a6,728,768,40
rNq2b2/4pk2/8/2pQ1p1p/p1P2PnP/1P2r3/P2P2B1/1RB2KNR b - - 0 23,f7g7,black,e3e6,-593,-632,-39
1r4k1/rpp2N2/1b2pqP1/Pn1p1n1p/5Pb1/P1PB2P1/3N3R/R1BQK3 b Q - 0 24,g4d1,black,g4d1,322,329,7
r2q2n1/pbppk1p1/np1br3/4pp1p/P2P1P2/NP3N1P/2P1P1P1/R1BQKB1R w KQ - 1 11,f4e5,white,f4e5,226,234,8
3r1br1/p1pqppp1/b1npk2p/1p5n/1P1PP1P1/B1P1KP1N/P1QNB2P/R6R w - - 5 16,d4d5,white,d4d5,1079,1199,120
qr2kr2/p1pB1p1p/np3Bp1/1Pb1P3/7P/2P3P1/P3P3/R3KQNR b - - 0 22,e8d7,black,e8d7,-590,-641,-51
rnbqk1nr/2ppp2p/6pb/pp6/Q1P1Pp2/N5PB/PP1P1P1P/R1B1K1NR b KQkq - 1 9,b5a4,black,b5a4,627,631,4
r1k3nb/2qnpp1r/pp2b2p/3p2pP/1BN3P1/1PPpPP1R/P3BK2/RQ4N1 b - - 1 21,d5c4,black,d5c4,400,426,26
rnbqk3/pppp3N/2nQp3/2b3pp/1P1PP2P/P4r2/R1P2PPR/1NB1KB2 b q - 3 15,c5d6,black,c5d6,350,361,11
2r1k2r/p1pp2pp/q3nb2/2P1Q1BP/1p2P1P1/P2P3B/5P2/2R1K1Nb b k - 0 24,f6e5,black,f6e5,855,894,39
r1bqkbnr/pppp2p1/n6p/4pN2/6P1/2P5/PP1PPP1P/RNBQKB1R b KQkq - 0 6,d7d5,black,d7d5,-56,-59,-3
